"LapTimeID","RideID","LapID","LStart","LFinish","LTime","LHRAverage","LDis","LAscent","LCadenceAv","LTemperature","LapNotes","Gen_LapNotes","s_ColLineage","s_Generation","s_GUID","s_Lineage"
476,749,56,"1899-12-30 01:14:40","1899-12-30 01:22:12","1899-12-30 00:07:32",179,,,,,,1,,0,,
477,750,11,"1899-12-30 00:53:51","1899-12-30 01:15:59","1899-12-30 00:22:08",171,,,,,,1,,0,,
478,751,40,"1899-12-30 00:10:38","1899-12-30 00:14:40","1899-12-30 00:04:02",136,,,,,,1,,0,,
479,751,56,"1899-12-30 01:35:17","1899-12-30 01:41:01","1899-12-30 00:05:44",176,,,,,,1,,0,,
480,751,183,"1899-12-30 01:56:34","1899-12-30 02:13:14","1899-12-30 00:16:40",165,5.57,270,,,,1,,94,,
481,752,54,"1899-12-30 01:10:35","1899-12-30 01:24:53","1899-12-30 00:14:18",132,,,,,,1,,0,,
482,752,210,"1899-12-30 01:24:53","1899-12-30 01:44:00","1899-12-30 00:19:07",100,,,,,,1,,0,,
483,752,2,"1899-12-30 01:44:00","1899-12-30 01:50:22","1899-12-30 00:06:22",125,,,,,"sitting",1,,0,,
484,754,54,"1899-12-30 01:12:23","1899-12-30 01:25:43","1899-12-30 00:13:20",146,,,,,,1,,0,,
485,754,210,"1899-12-30 01:25:43","1899-12-30 01:42:51","1899-12-30 00:17:08",117,,,,,,1,,0,,
486,754,2,"1899-12-30 01:42:51","1899-12-30 01:47:40","1899-12-30 00:04:49",158,,,,,,1,,0,,
487,755,2,"1899-12-30 01:36:59","1899-12-30 01:43:30","1899-12-30 00:06:31",152,,,,,,1,,0,,
488,756,11,"1899-12-30 01:22:17","1899-12-30 01:43:45","1899-12-30 00:21:28",176,,,,,,1,,0,,
489,757,11,"1899-12-30 01:22:24","1899-12-30 01:39:25","1899-12-30 00:17:01",179,,,,,,1,,0,,
490,757,2,"1899-12-30 03:25:15","1899-12-30 03:31:29","1899-12-30 00:06:14",140,,,,,,1,,0,,
491,758,54,"1899-12-30 00:22:44","1899-12-30 00:36:33","1899-12-30 00:13:49",141,,,,,,1,,0,,
492,758,210,"1899-12-30 00:36:33","1899-12-30 00:52:49","1899-12-30 00:16:16",121,,,,,,1,,0,,
493,758,2,"1899-12-30 00:52:49","1899-12-30 00:58:13","1899-12-30 00:05:24",144,,,,,,1,,0,,
494,761,40,"1899-12-30 00:10:44","1899-12-30 00:14:30","1899-12-30 00:03:46",127,,,,,,1,,0,,
495,763,213,"1899-12-30 00:51:55","1899-12-30 01:17:25","1899-12-30 00:25:30",159,,,,,,1,,0,,
496,763,213,"1899-12-30 01:17:25","1899-12-30 01:41:44","1899-12-30 00:24:19",173,,,,,,1,,0,,
497,763,213,"1899-12-30 01:41:44","1899-12-30 02:06:51","1899-12-30 00:25:07",173,,,,,"crashed on last lap",1,,0,,
498,764,213,"1899-12-30 00:00:00","1899-12-30 00:18:27","1899-12-30 00:18:27",171,4.82,,,,,1,,94,,
499,764,213,"1899-12-30 00:18:27","1899-12-30 00:38:10","1899-12-30 00:19:43",171,4.82,,,,,1,,94,,
500,764,213,"1899-12-30 00:38:10","1899-12-30 00:58:13","1899-12-30 00:20:03",169,4.82,,,,,1,,94,,
501,764,213,"1899-12-30 00:58:13","1899-12-30 01:18:34","1899-12-30 00:20:21",166,4.82,,,,,1,,94,,
502,764,213,"1899-12-30 01:18:34","1899-12-30 01:38:28","1899-12-30 00:19:54",167,4.82,,,,,1,,94,,
503,767,54,"1899-12-30 01:06:36","1899-12-30 01:17:41","1899-12-30 00:11:05",173,,,,,,1,,0,,
504,767,210,"1899-12-30 01:17:41","1899-12-30 01:34:24","1899-12-30 00:16:43",131,,,,,,1,,0,,
505,767,2,"1899-12-30 01:34:24","1899-12-30 01:39:07","1899-12-30 00:04:43",162,,,,,"Includes stop to remove bark from wheel",1,,0,,
506,768,40,"1899-12-30 00:09:08","1899-12-30 00:13:18","1899-12-30 00:04:10",132,,,,,,1,,0,,
507,768,214,"1899-12-30 01:50:49","1899-12-30 02:00:05","1899-12-30 00:09:16",175,,,,,,1,,0,,
508,769,54,"1899-12-30 00:27:00","1899-12-30 00:41:05","1899-12-30 00:14:05",135,,,,,,1,,0,,
509,769,210,"1899-12-30 00:41:05","1899-12-30 00:59:31","1899-12-30 00:18:26",112,,,,,,1,,0,,
510,769,2,"1899-12-30 00:59:31","1899-12-30 01:06:09","1899-12-30 00:06:38",127,,,,,,1,,0,,
511,770,4,"1899-12-30 02:18:11","1899-12-30 02:56:11","1899-12-30 00:38:00",156,,,,,"3rd in D Grade. Break for ~ 20min.",1,,0,,
512,771,54,"1899-12-30 01:03:40","1899-12-30 01:16:37","1899-12-30 00:12:57",141,,,,,,1,,0,,
513,771,210,"1899-12-30 01:16:37","1899-12-30 01:32:07","1899-12-30 00:15:30",119,,,,,,1,,0,,
514,771,2,"1899-12-30 01:32:07","1899-12-30 01:39:11","1899-12-30 00:07:04",124,,,,,,1,,0,,
515,772,48,"1899-12-30 01:42:49","1899-12-30 01:51:30","1899-12-30 00:08:41",156,1.71,160,,,,1,,94,,
516,775,4,"1899-12-30 01:12:46","1899-12-30 01:56:50","1899-12-30 00:44:04",158,,,,,,1,,0,,
517,776,54,"1899-12-30 02:06:26","1899-12-30 02:22:49","1899-12-30 00:16:23",165,,,,,,1,,0,,
518,776,2,"1899-12-30 02:41:27","1899-12-30 02:53:34","1899-12-30 00:12:07",137,,,,,"walked up eastern gate",1,,0,,
519,783,40,"1899-12-30 00:09:43","1899-12-30 00:13:14","1899-12-30 00:03:31",142,,,,,,1,,0,,
520,783,221,"1899-12-30 00:53:38","1899-12-30 01:24:03","1899-12-30 00:30:25",157,,,,,"Whitmore Square Crit. Got dropped from C bunch on last lap.",1,,94,,
521,783,182,"1899-12-30 02:23:55","1899-12-30 02:58:29","1899-12-30 00:34:34",129,,,,,,1,,0,,
522,785,215,"1899-12-30 01:03:23","1899-12-30 01:37:23","1899-12-30 00:34:00",165,,,,,,1,,0,,
523,789,4,"1899-12-30 01:38:30","1899-12-30 02:26:52","1899-12-30 00:48:22",144,,,,,,1,,0,,
524,789,191,"1899-12-30 03:55:36","1899-12-30 04:05:35","1899-12-30 00:09:59",160,1.96,165,,,,1,,94,,
525,789,2,"1899-12-30 04:22:34","1899-12-30 04:29:11","1899-12-30 00:06:37",137,,,,,,1,,0,,
526,790,182,"1899-12-30 01:12:36","1899-12-30 01:47:26","1899-12-30 00:34:50",117,,,,,,1,,0,,
528,791,11,"1899-12-30 01:37:13","1899-12-30 01:53:51","1899-12-30 00:16:38",168,,,,,,1,,0,,
529,791,6,"1899-12-30 03:46:39","1899-12-30 03:57:52","1899-12-30 00:11:13",145,3.15,165,,,,1,,0,,
530,791,210,"1899-12-30 03:57:52","1899-12-30 04:16:24","1899-12-30 00:18:32",117,,,,,,1,,0,,
531,791,2,"1899-12-30 04:16:24","1899-12-30 04:22:55","1899-12-30 00:06:31",135,,,,,,1,,0,,
533,793,40,"1899-12-30 00:12:35","1899-12-30 00:16:54","1899-12-30 00:04:19",121,,,,,,1,,0,,
534,796,40,"1899-12-30 00:09:40","1899-12-30 00:13:47","1899-12-30 00:04:07",119,,,,,,1,,0,,
535,796,11,"1899-12-30 01:07:02","1899-12-30 01:25:15","1899-12-30 00:18:13",160,,,,,,1,,0,,
536,797,11,"1899-12-30 00:53:03","1899-12-30 01:15:37","1899-12-30 00:22:34",172,,,,,,1,,0,,
537,799,2,"1899-12-30 03:17:30","1899-12-30 03:23:49","1899-12-30 00:06:19",129,,,,,,1,,0,,
538,800,40,"1899-12-30 00:09:58","1899-12-30 00:12:49","1899-12-30 00:02:51",158,,,,,,1,,0,,
539,800,4,"1899-12-30 00:49:29","1899-12-30 01:40:00","1899-12-30 00:50:31",160,,,,,,1,,0,,
540,800,191,"1899-12-30 02:50:08","1899-12-30 03:00:37","1899-12-30 00:10:29",158,1.96,165,,,,1,,95,,
541,800,2,"1899-12-30 03:16:16","1899-12-30 03:22:33","1899-12-30 00:06:17",144,,,,,,1,,0,,
542,801,40,"1899-12-30 00:12:00","1899-12-30 00:16:47","1899-12-30 00:04:47",120,,,,,,1,,0,,
543,801,217,"1899-12-30 02:27:00","1899-12-30 02:34:43","1899-12-30 00:07:43",138,0.92,90,,,,1,,95,,
544,801,219,"1899-12-30 02:34:43","1899-12-30 02:40:08","1899-12-30 00:05:25",138,0.84,60,,,,1,,95,,
545,801,218,"1899-12-30 02:40:08","1899-12-30 02:59:20","1899-12-30 00:19:12",109,5.61,75,,,,1,,95,,
546,801,2,"1899-12-30 02:59:20","1899-12-30 03:07:04","1899-12-30 00:07:44",128,,,,,,1,,0,,
547,802,12,"1899-12-30 00:00:00","1899-12-30 01:10:06","1899-12-30 01:10:06",81,,,,,"whole ride",1,,0,,
548,803,40,"1899-12-30 00:10:31","1899-12-30 00:14:14","1899-12-30 00:03:43",128,,,,,,1,,0,,
549,803,208,"1899-12-30 01:30:16","1899-12-30 01:37:51","1899-12-30 00:07:35",172,,,,,,1,,0,,
550,803,220,"1899-12-30 01:37:51","1899-12-30 01:55:49","1899-12-30 00:17:58",174,5.41,290,,,,1,,95,,
551,803,197,"1899-12-30 02:09:42","1899-12-30 02:22:13","1899-12-30 00:12:31",165,3.77,210,,,,1,,95,,
552,804,217,"1899-12-30 01:19:10","1899-12-30 01:26:14","1899-12-30 00:07:04",130,0.92,90,,,,1,,95,,
553,804,219,"1899-12-30 01:26:30","1899-12-30 01:31:23","1899-12-30 00:04:53",124,0.84,60,,,,1,,95,,
554,804,218,"1899-12-30 01:31:23","1899-12-30 01:50:44","1899-12-30 00:19:21",100,5.61,75,,,,1,,95,,
555,804,2,"1899-12-30 01:50:44","1899-12-30 01:59:21","1899-12-30 00:08:37",109,,,,,,1,,0,,
556,806,217,"1899-12-30 02:05:16","1899-12-30 02:13:27","1899-12-30 00:08:11",123,0.92,90,,,,1,,95,,
557,806,2,"1899-12-30 02:38:56","1899-12-30 02:46:11","1899-12-30 00:07:15",124,,,,,,1,,0,,
558,808,4,"1899-12-30 03:01:02","1899-12-30 03:54:20","1899-12-30 00:53:18",143,,,,,"C grade. Break with Pete for ~2.5laps. Crash in sprint and boxed in so sprint was crap but felt good.",1,,0,,
559,808,191,"1899-12-30 05:01:36","1899-12-30 05:11:43","1899-12-30 00:10:07",158,1.96,165,,,,1,,95,,
560,808,218,"1899-12-30 05:11:43","1899-12-30 05:26:11","1899-12-30 00:14:28",129,5.61,75,,,,1,,95,,
561,808,2,"1899-12-30 05:26:11","1899-12-30 05:31:38","1899-12-30 00:05:27",151,,,,,,1,,0,,
562,810,12,"1899-12-30 00:22:36","1899-12-30 01:37:51","1899-12-30 01:15:15",69,,,,,,1,,0,,
563,813,40,"1899-12-30 00:09:19","1899-12-30 00:13:16","1899-12-30 00:03:57",125,,,,,,1,,0,,
564,813,11,"1899-12-30 01:31:04","1899-12-30 01:48:36","1899-12-30 00:17:32",165,,,,,,1,,0,,
565,813,2,"1899-12-30 02:44:54","1899-12-30 02:49:13","1899-12-30 00:04:19",155,,,,,,1,,0,,
566,815,12,"1899-12-30 00:00:00","1899-12-30 02:32:02","1899-12-30 02:32:02",81,,,,,"Torrens Bird Counts",1,,0,,
567,816,222,"1899-12-30 00:06:15","1899-12-30 00:28:31","1899-12-30 00:22:16",158,6.44,,,,"Lap one",1,,95,,
568,816,222,"1899-12-30 00:28:31","1899-12-30 00:50:08","1899-12-30 00:21:37",166,6.44,,,,"Lap two",1,,95,,
569,816,222,"1899-12-30 00:00:00","1899-12-30 00:22:57","1899-12-30 00:22:57",151,6.44,,,,"Laps 4-6 laps averaged",1,,95,,
570,816,222,"1899-12-30 00:22:57","1899-12-30 00:45:54","1899-12-30 00:22:57",151,6.44,,,,"Laps 4-6 laps averaged",1,,95,,
571,816,222,"1899-12-30 00:45:54","1899-12-30 01:08:51","1899-12-30 00:22:57",151,6.44,,,,"Laps 4-6 laps averaged",1,,95,,
572,816,222,"1899-12-30 00:00:00","1899-12-30 00:23:40","1899-12-30 00:23:40",148,6.44,,,,"Laps 7-8 averaged",1,,95,,
573,816,222,"1899-12-30 00:23:40","1899-12-30 00:47:19","1899-12-30 00:23:39",148,6.44,,,,"Laps 7-8 averaged",1,,95,,
575,822,40,"1899-12-30 00:10:08","1899-12-30 00:13:11","1899-12-30 00:03:03",137,,,,,,1,,0,,
576,822,4,"1899-12-30 01:40:19","1899-12-30 02:30:52","1899-12-30 00:50:33",158,,,,,"Came third in C grade in a sprint. Also in a few breaks.",1,,0,,
577,822,54,"1899-12-30 03:59:57","1899-12-30 04:14:00","1899-12-30 00:14:03",137,,,,,,1,,0,,
