"Activity Score","When","Type","Gear","Name","Dist km","Elv m","Elapsed Time","Moving Time","Start Time","Day of Week","Speed km/h","Max Speed km/h","Pace /km","Max Pace /km","Pace /100m","Max Pace /100m","Pwr W","Weighted Avg Pwr W","Max Pwr W","Power Meter","Cad","Heart","Max Heart","Elev/Dist m/km","Elev/Time m/h","W/HR","Speed/HR","Temp °C","Cal","Energy kJ","Segs","PRs","Group Size","Kudos","Comments","Com","Trn","Man","Pri","Dist away km","Activity Score 25%","Training Load","Intensity %","Segment PRs (K/QOM positions)","All segments (personal positions)","Ride/Run Type","400m","1 km","5 km","10 km","15 km","20 km","30 km","50 km","1/2 Mile","1 mile","2 mile","10 mile","Half Marathon","Marathon","Relative Effort","Points in red","% in red","H/R Zone 1","H/R Zone 2","H/R Zone 3","H/R Zone 4","H/R Zone 5","Power 0W","Power 0-50W","Power 50-100W","Power 100-150W","Power 150-200W","Power 200-250W","Power 250-300W","Power 300-350W","Power 350-400W","Power 400-450W","Power 450W+","Pace Zone 1","Pace Zone 2","Pace Zone 3","Pace Zone 4","Pace Zone 5","Flagged","Description","City","State","Tiles calculated","Device/App","Activity Id","Activity Id"
56.846874151425325,"2019-02-21 06:59:44","Ride","a perfect blend","Morning Ride",31319.8,715,6371,6204,25184,"Thursday",5.0483,17.4,198.1,57.47,19.81,5.747,153.9,0,,0,0,,0,22.83,414.9,0,0,12,1097.2,955,29,1,1,0,0,0,0,0,1,-1,79.61787551900194,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1316,484,629,558,1029,997,270,473,339,63,46,0,0,0,0,0,0,"",,,0,"Wahoo ELEMNT BOLT",2166285676,2166285676
57.59342046635898,"2019-02-20 06:01:43","Ride","a perfect blend","Morning Ride",26879,730,5682,5392,21703,"Wednesday",4.985,19.2,200.6,52.08,20.06,5.208,160.9,0,,0,0,,0,27.16,487.4,0,0,9,997.5,867.5,23,0,1,0,0,0,0,0,1,-1,77.85175127129149,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1043,374,565,333,1022,1022,257,379,279,44,74,0,0,0,0,0,0,"",,,0,"Wahoo ELEMNT BOLT",2161826272,2161826272
50.07056164783209,"2019-02-13 16:08:35","Ride","a perfect blend","Afternoon Ride",32387.9,754,6227,6091,58115,"Wednesday",5.3173,16,188.1,62.5,18.81,6.25,167.8,0,,0,0,,0,23.28,445.6,0,0,18,1170.7,1022,35,3,1,0,0,1,0,0,1,-1,75.2408891844698,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1038,382,617,577,1136,1012,436,470,261,66,96,0,0,0,0,0,0,"",,,0,"Wahoo ELEMNT BOLT",2149440112,2149440112
0,"2019-02-13 07:15:05","Ride","a perfect blend","Morning Ride",8966.1,37,1797,1673,26105,"Wednesday",5.3593,9.1,186.6,109.89,18.66,10.989,94,0,,0,0,,0,4.13,79.6,0,0,10,179.8,157.3,0,0,1,0,0,1,0,0,1,-1,0,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,380,249,294,364,189,123,55,17,0,1,1,0,0,0,0,0,0,"",,,0,"Wahoo ELEMNT BOLT",2149440010,2149440010
68.36777860292655,"2019-02-06 06:21:26","Ride","a perfect blend","Morning Ride",26755,746,5540,5408,22886,"Wednesday",4.9473,17.5,202.1,57.14,20.21,5.714,166.2,0,,0,0,,0,27.88,496.6,0,0,15,1032.4,898.9,18,1,1,0,0,0,0,0,1,-1,87.26651999089599,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1068,347,462,310,1186,926,195,513,286,34,81,0,0,0,0,0,0,"",,,0,"Wahoo ELEMNT BOLT",2127804693,2127804693
36.41771218977102,"2019-02-04 06:46:04","Ride","a perfect blend","Morning Ride",17368.2,411,3982,3918,24364,"Monday",4.4329,11.9,225.6,84.02999999999999,22.56,8.402999999999999,134.9,0,,0,0,,0,23.66,377.6,0,0,15,608.4,528.5,8,0,1,0,0,0,0,0,1,-1,60.984848484848484,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1136,307,427,326,511,513,197,250,160,46,45,0,0,0,0,0,0,"",,,0,"Wahoo ELEMNT BOLT",2125136213,2125136213
76.92568916045971,"2019-01-30 17:10:58","Ride","a perfect blend","Afternoon Ride",5946.6,54,1083,1056,61858,"Wednesday",5.6313,8.5,177.6,117.65,17.76,11.765,150.6,0,,0,0,,0,9.08,184.1,0,0,27,182.1,159,8,0,1,0,0,1,0,0,1,-1,91.07656023941178,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,163,95,119,243,134,84,113,60,17,15,13,0,0,0,0,0,0,"",,,0,"Wahoo ELEMNT BOLT",2114141954,2114141954
25.045496566367937,"2019-01-26 07:16:28","Ride","a perfect blend","Morning Ride",84156.4,1525,16250,13707,26188,"Saturday",6.1397,15.7,162.89999999999998,63.69,16.29,6.369,165.4,0,,0,0,,0,18.12,400.5,0,0,20,2595.4,2266.5,39,6,1,0,0,0,0,0,1,-1,47.602825097430284,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2677,862,1335,1385,1953,2203,1233,804,747,260,248,0,0,0,0,0,0,"",,,0,"Wahoo ELEMNT BOLT",2103269133,2103269133
23.84997809233452,"2019-01-25 16:05:15","Ride","a perfect blend","Afternoon Ride",70792.8,1142,15406,12749,57915,"Friday",5.5528,16.8,180.10000000000002,59.52,18.01,5.952,160.8,0,,0,0,,0,16.13,322.5,0,0,18,2348.4,2050.2,63,1,1,0,0,0,0,0,1,-1,52.453701073330244,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1816,1196,1244,1617,2497,1976,924,646,435,214,184,0,0,0,0,0,0,"",,,0,"Wahoo ELEMNT BOLT",2101845607,2101845607
78.39765735645794,"2019-01-25 08:47:03","Ride","a perfect blend","Morning Ride",9494,33,2069,1527,31623,"Friday",6.2174,9.3,160.8,107.53,16.08,10.753,121.9,0,,0,0,,0,3.48,77.8,0,0,26,211.9,186.1,6,0,1,0,0,0,0,0,1,-1,90.01950268161872,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,277,215,124,356,300,84,95,60,8,6,2,0,0,0,0,0,0,"",,,0,"Wahoo ELEMNT BOLT",2101845470,2101845470
